Original,Generated Slang,Lemma,Annotator 1,Annotator 2,Letter 1,Similarity 1 (1 to 5 Likert),Letter 2,Similarity 2 (1 to 5 Likert),Tiebreak,Tiebreak Sim,,,,
pussies,wussie,wussie,Andrew,Nigel,B,4,B,4,,,,,,
pussies,wussies,wussies,Andrew,Nigel,B,4,B,4,,,,,,
pussies,pussified,pussified,Andrew,Nigel,A,3,B,5,,,,,,
pussies,titties,titties,Andrew,Nigel,A,3,A,4,,,,,,
pussies,cunts,cunts,Andrew,Nigel,A,4,A,4,,,,,,
pussies,mussy,mussy,Andrew,Nigel,A,4,A,4,,,,,,
pussies,niggers,niggers,Andrew,Nigel,H,1,H,2,,,,,,
pussies,fags,fag,Andrew,Nigel,H,2,H,2,,,,,,
pussies,coozes,coozes,Andrew,Nigel,A,4,A,2,,,,,Letter,Category
pussies,yuppiebrats,yuppiebrats,Andrew,Nigel,Z,2,B,2,,,,,A,Adult nudity and sexual activities
suicide,death,death,Andrew,Nigel,Z,4,Z,4,,,,,B,Bullying and harassment
suicide,murder,murder,Andrew,Nigel,V,3,V,4,,,,,C,Copyright and trademark infringement
suicide,die,die,Andrew,Nigel,Z,3,V,4,,,,,D,Dangerous acts and challenges
suicide,commit,commit,Andrew,Nigel,S,3,Z,1,,,,,E,Violent extremism
suicide,suicidal,suicidal,Andrew,Nigel,S,4,V,5,,,,,H,Hateful behavior
suicide,rape,rape,Andrew,Nigel,A,1,V,2,,,,,I,Illegal activities and regulated goods
suicide,killed,kill,Andrew,Nigel,V,3,V,3,,,,,M,Minor Safety
suicide,terror,terror,Andrew,Nigel,Z,2,Z,1,,,,,N,Integrity and authenticity
deepthroat,bulimia,bulimia,Andrew,Nigel,S,2,S,1,,,,,S,"Suicide, self-harm, and disordered eating"
deepthroat,playthrough,playthrough,Andrew,Nigel,Z,1,Z,1,,,,,V,Violent and graphic content
deepthroat,mindboggling,mindboggling,Andrew,Nigel,Z,1,Z,1,,,,,Z,Unclassified
deepthroat,swampcritter,swampcritter,Andrew,Nigel,Z,1,Z,1,,,,,,
deepthroat,squareclouds,squareclouds,Andrew,Nigel,Z,1,Z,1,,,,,,
boob,libs,libs,Andrew,Nigel,Z,1,Z,1,,,,,Likert Score,Description
boob,booger,booger,Andrew,Nigel,Z,1,Z,1,,,,,1,Strongly dissimilar - no contextual similarity
boob,boof,boof,Andrew,Nigel,Z,1,A,1,,,,,2,Dissimilar
boob,booette,booette,Andrew,Nigel,Z,2,A,1,,,,,3,"Neutral - some contextual similarity, if not meaning"
boob,blowjob,blowjob,Andrew,Nigel,A,3,A,2,,,,,4,Similar
boob,dweeb,dweeb,Andrew,Nigel,Z,2,B,3,,,,,5,Strongly similar - synonym
boob,nutcase,nutcase,Andrew,Nigel,Z,2,B,3,,,,,,
hentai,futanari,futanari,Andrew,Nigel,A,4,A,4,,,,,,
hentai,hokuto,hokuto,Andrew,Nigel,A,4,A,4,,,"apparently means ""big dipper"" or ""the plough""",,,
hentai,futa,futa,Andrew,Nigel,A,4,A,5,,,,,,
hentai,bisokuzenshin,bisokuzenshin,Andrew,Nigel,Z,1,A,5,,,,,,
hentai,otaku,otaku,Andrew,Nigel,Z,1,Z,3,,,,,,
hentai,ecchi,ecchi,Andrew,Nigel,,,A,4,,,,,,
hentai,meio,meio,Andrew,Nigel,,,A,4,,,,,,
hentai,bowls,bowl,Andrew,Nigel,,,Z,1,,,,,,
hentai,gen,gen,Andrew,Nigel,,,Z,1,,,,,,
hentai,noodles,noodles,Andrew,Nigel,,,Z,1,,,,,,
wanking,doxxing,doxxing,Andrew,Nigel,,,I,1,,,,,,
wanking,awan,awan,Andrew,Nigel,,,Z,1,,,,,,
wanking,ftp13,ftp13,Andrew,Nigel,,,Z,1,,,,,,
wanking,kike,kike,Andrew,Nigel,,,H,1,,,,,,
molester,rapist,rapist,Andrew,Nigel,,,V,3,,,,,,
molester,molestors,molestors,Andrew,Nigel,,,I,5,,,,,,
molester,molested,molest,Andrew,Nigel,,,I,5,,,,,,
molester,molestation,molestation,Andrew,Nigel,,,I,5,,,,,,
molester,abuser,abuser,Andrew,Nigel,,,I,4,,,,,,
molester,is,be,Andrew,Nigel,,,Z,1,,,,,,
molester,killer,killer,Andrew,Nigel,,,V,2,,,,,,
molester,as,as,Andrew,Nigel,,,Z,1,,,,,,
molester,flake,flake,Andrew,Nigel,,,Z,1,,,,,,
masturbating,masturbation,masturbation,Andrew,Nigel,,,A,5,,,,,,
masturbating,masturbate,masturbate,Andrew,Nigel,,,A,5,,,,,,
dick,penis,penis,Andrew,Nigel,,,A,5,,,,,,
dick,cock,cock,Andrew,Nigel,,,A,5,,,,,,
dick,daddy,daddy,Andrew,Nigel,,,Z,3,,,,,,
dick,shit,shit,Andrew,Nigel,,,B,3,,,,,,
dick,dude,dude,Andrew,Nigel,,,Z,2,,,,,,
dick,ass,ass,Andrew,Nigel,,,A,3,,,,,,
dick,crotch,crotch,Andrew,Nigel,,,A,3,,,,,,
dick,fuck,fuck,Andrew,Nigel,,,B,2,,,,,,
dick,pussy,pussy,Andrew,Nigel,,,B,3,,,,,,
dick,a,a,Andrew,Nigel,,,Z,1,,,,,,
neonazi,shitlibs,shitlibs,Andrew,Nigel,,,B,3,,,,,,
neonazi,feminazis,feminazis,Andrew,Nigel,,,B,3,,,,,,
neonazi,demobrats,demobrats,Andrew,Nigel,,,B,3,,,,,,
naked,nude,nude,Andrew,Nigel,,,A,5,,,,,,
naked,bare,bare,Andrew,Nigel,,,A,5,,,,,,
naked,shirtless,shirtless,Andrew,Nigel,,,A,4,,,,,,
naked,topless,topless,Andrew,Nigel,,,A,4,,,,,,
naked,â€˜,â€˜,Andrew,Nigel,,,Z,1,,,,,,
naked,genitals,genitals,Andrew,Nigel,,,A,4,,,,,,
naked,clothes,clothe,Andrew,Nigel,,,Z,3,,,,,,
naked,man,man,Andrew,Nigel,,,Z,1,,,,,,
naked,picture,picture,Andrew,Nigel,,,Z,1,,,,,,
naked,with,with,Andrew,Nigel,,,Z,1,,,,,,
masturbate,masturbatory,masturbatory,Andrew,Nigel,,,A,5,,,,,,
nig,nog,nog,Andrew,Nigel,,,Z,3,,,,,,
nig,nang,nang,Andrew,Nigel,,,Z,3,,,,,,
nig,nogs,nogs,Andrew,Nigel,,,Z,3,,,,,,
rape,assault,assault,Andrew,Nigel,,,V,4,,,,,,
rape,raping,rap,Andrew,Nigel,,,V,5,,,,,,
rape,sexual,sexual,Andrew,Nigel,,,A,3,,,,,,
rape,abuse,abuse,Andrew,Nigel,,,A,4,,,,,,
rape,gang,gang,Andrew,Nigel,,,Z,3,,,,,,
rape,sex,sex,Andrew,Nigel,,,A,3,,,,,,
rape,beat,beat,Andrew,Nigel,,,Z,3,,,,,,
rape,the,the,Andrew,Nigel,,,Z,1,,,,,,
meth,fentanyl,fentanyl,Andrew,Nigel,,,I,3,,,,,,
meth,opiates,opiates,Andrew,Nigel,,,I,4,,,,,,
meth,drug,drug,Andrew,Nigel,,,I,4,,,,,,
meth,lsd,lsd,Andrew,Nigel,,,I,4,,,,,,
meth,opiate,opiate,Andrew,Nigel,,,I,4,,,,,,
meth,muh,muh,Andrew,Nigel,,,Z,1,,,,,,
meth,teh,teh,Andrew,Nigel,,,Z,1,,,,,,
meth,psychotropic,psychotropic,Andrew,Nigel,,,Z,1,,,,,,
meth,scumbags,scumbags,Andrew,Nigel,,,B,1,,,,,,
meth,semen,semen,Andrew,Nigel,,,A,1,,,,,,
virgin,whore,whore,Andrew,Nigel,,,A,3,,,,,,
virgin,woman,woman,Andrew,Nigel,,,Z,3,,,,,,
virgin,prostitute,prostitute,Andrew,Nigel,,,A,3,,,,,,
virgin,mary,mary,Andrew,Nigel,,,Z,4,,,,,,
virgin,lesbian,lesbian,Andrew,Nigel,,,H,3,,,,,,
virgin,orgasm,orgasm,Andrew,Nigel,,,A,3,,,,,,
virgin,christ,christ,Andrew,Nigel,,,Z,1,,,,,,
terrorist,terrorism,terrorism,Andrew,Nigel,,,E,5,,,,,,
terrorist,dangerous,dangerous,Andrew,Nigel,,,Z,2,,,,,,
terrorist,militants,militants,Andrew,Nigel,,,E,5,,,,,,
terrorist,jihadists,jihadists,Andrew,Nigel,,,E,5,,,,,,
terrorist,palestinian,palestinian,Andrew,Nigel,,,Z,3,,,,,,
terrorist,bomber,bomber,Andrew,Nigel,,,Z,4,,,,,,
