,Video ID,Author,Video Description,Video #Views,Euphemism,Annotator 1,Letter 1,Annotator 2,Letter 2
0,6982990944966593797,vicky.eis,#alternative #weirdo #punk #emo #goth #metalhead #makeup #k1nk #dom #bluehair #couple,5600000,k1nk,,,,
1,7010174502118100230,dr.feelgoode,#kinktok #dom #brat #ropebunny #4u #4upage #humor #viral #trend #trending #foryou #foryoupage #k1nk #kinkcommunity #fyp,4300000,k1nk,,,,
2,7077760177281322245,celestialredshop,N🅰️ughty but nice 😈 #matchingcouplesoutfits #matchingcouple #matchingundies #fr3aktok😈 #k1nkcommunity #k1nk #qinktok #hotwife #dom #sub #customunderwear,4000000,k1nk,,,,
3,7072533637014637867,lumi.resides,#fyp #fypシ #foryou #foryoupage #quinktok #kinktok #subsoftiktok #top #bottom #dom #sub #domsoftiktok #switchesoftiktok #k1nk #lgbt,1900000,k1nk,,,,
4,7013116218253020421,dr.feelgoode,Idea from:  @rabbidrabbitz #fyp #foryou #foryoupage #kinktok #k1nk #kinkcommunity #dom #brat #sub #switch #4u #4upage #viral #trend #trending #comedy,1800000,k1nk,,,,
5,7166466361424661762,thekinkyfairy,😂😈👸🏽 #brattok #brattysub #bratlife #kinktok #kinkcommunity #quinktok #quinkcommunity #stype #submissive #dominant #kinkythings #knky #k1nk #k1nkcommunity #thekinkyfairy #domsub #subdom #domsubrelationship #quinktoksub #aussie #comedy ,1800000,k1nk,,,,
6,7141793943909600558,fivefoldlaw,#GayRetail #Leather #K1nk #Fet1shwear #LGBTQIA #SirRatLeather #CRing,1900000,k1nk,,,,
7,7016380897251314950,briden_thatguysart,Rug beater demonstration #demonstration #dom #sub #kinktok #k1nk #101 #fypage #meditation,1300000,k1nk,,,,
8,6990170240860572934,yuckieth0t,Let my people GO😩!!! #tofreedom #yuckie #busted #c0on,2731,c0on,,,,
9,7109179225009048875,nanamis.wife1,#stitch with @caleb.green don’t even know whst to say atp…🤦🏾‍♀️ #c0on #fyp #poc,2629,c0on,,,,
10,7010813845627227398,the.azel,#stitch with @shonrah0 No Brain cells were used in this video I can tell #c0on #foryou,3088,c0on,,,,
11,6901037167376698629,deydademon,"You know who you are, ion know why ya keep doin it to yourself 🤦🏾‍♂️ #africa #drumarjohnson #c0on",2008,c0on,,,,
12,6964578757315136774,justhuge469,Wayne t carr got caught in 4K #greenscreen #c0on #interacial #mixed #snydercut #blackmen #snyder  #jokes #comedy,2157,c0on,,,,
13,7084959968058821894,tyreseftb_,#stitch with @mlwcanada lord help us #LiveForTheChallenge #dontletthisflop #viral #c0on #viraltiktok,3094,c0on,,,,
14,6989973385660861702,cocotheelawyer,#stitch @divineancestor 😳 #blacktok #blackwomen #blackmen #c0on #degradation #aMESS #messytiktok,662,c0on,,,,
15,7011158901747928325,tall_one87,#stitch with @beardedmatthew #fyp #foryoupage #t3rrorist #sympathiser #democrat #liberal #blacklivesmatter #blm #breyonnataylor #dontwannatalkaboutit,9442,t3rrorist,,,,
16,7040875518882778374,edits___idk___,another Jacob edit… #vampire #viral #jacob #edward #twilight #twilightedit #edit #fypシ #blood #cosmiclove #TKMaxxTalentShow #t3rrorist,930,t3rrorist,,,,
17,7076990143260871942,sanatababy,What attracts Americans to have to identical towers so much #duet #santaaiz #xyzba #fypシ #lol #twintowers #rip #bomb #t3rrorist,2043,t3rrorist,,,,
18,7017978697437203717,chamasdavidaalexandre,doe um kimono!#vemcomopai😎 #CheetosChallenge #TudumRemixChallenge #vemdansa #FuriosoChallenge #MaYaHi #v3mcomopqi #BellaChallenge #t3rrorist,182,t3rrorist,,,,
19,7012054697058045189,chamasdavidaalexandre,vem com pai Barrabás #t3rrorist #v3mcomopqi #FuriosoChallenge #MaYaHi #vemdansa #CheetosChallenge,162,t3rrorist,,,,
20,7031168823785016582,22aid,#islam #t3rrorist #halal #muslim #dabomb,75,t3rrorist,,,,
21,7122615216201927979,pallomarez,essa trend machuca #fyp #foryou #foryoupage #trend #takeanangelbythewings #eatingd1sorder,15700,eatingd1sorder,,,,
22,6962684733427862790,boburnhamsleftpvssylip,ew #bodyimage #nonbinary #fypシ #lgbt #ventaccount #eatingd1sorder,417,eatingd1sorder,,,,
23,6955860659934334214,myrealnameisasecret_,,1740,eatingd1sorder,,,,
24,6956159136505629957,j0.mommy,I just woke up #mentalbreakdown #edhumor #mom #eatingd1sorder,458,eatingd1sorder,,,,
25,7012096891785661702,eleven.ten.sixteen,it's getting bad again... #vent #eatingd1sorder #ed #depressed #wlw #nblw,272,eatingd1sorder,,,,
26,7051320852700466478,imaginemfs,Too Late #imaginemfs #viral #fyp #śuicide #imaginestories #imagines #xyzbca #wattpad #bestfriend [im scared],1654,śuicide,,,,
27,6943270247805897989,.those.kids.be.like,PLEZ GAYS #fyp #depresion #TestReadyChic #hate #śuicide #real #fypp #joke #thosekidsbelike #kids #depressed #foryou,1389,śuicide,,,,
28,7078410139757251883,my_name_jeff_3,"It’s been rough with out cuzzo, thinking of you always. #rip #śuicide #awareness #mynamejeff3",301,śuicide,,,,
29,7052915170204568838,skynnygirl_lovely,#pr0mia #4naym14 #fypシ #sheincares,306,pr0mia,,,,
30,7171508274376805638,wherehasmyheartgon3,just got a lil too silly might delete #vent #mightdelete #coquitlam #coquettefriend #fit  #igottoosilly #sanestincelever #pr0mia #prom1a #goofyahh #goofyera ,178,pr0mia,,,,
31,7043077096788348165,bmssonofphilosophie,#ፍትሒ #ንሄዋናትና #stop #killng our beautiful #sisters ተሕዝኑ ተግህዩ ብሓቂ የሕምም ዘይዘመና ኦ ጎይታ ዘ@ahymanotkedanuo መና መልሰልና@arsema_kdesti @habugash @genethabeshawt,112600,killng,,,,
32,6725993519476968705,iswarya.tosie,i#hate#killng#fishes 🐟🐟,2676,killng,,,,
33,6881316112726871298,jennypresh3,#funfact#killng,1743,killng,,,,
34,7062268883171904769,drbafff,#voiceeffects #you #killng #me #inside #💔 #🥀 #❤️ #любовь #отношения #грусть #расставание #вместе #одиночество #принять #отпустить #рек #невыносимо,4330,killng,,,,
35,6996672619185507589,haat_van_leven_2004_,#foryourpage #prayforafghanistan #SanctionPakistan #stop #killng #Afghans🤲🤲😭 یا رب العالمین تا ته هر سه اسانه دی ته مو په وطن کی تل پاتی صلحه راولی,1206,killng,,,,
36,7158062961859349766,oshaineoffical_,#fypシ゚viral  #fup #fyp #jama #knifecrime #guncrimeuk #fyppppppppppppppppppppppp#killng #stop #nomoreviolence #fypp  ,2750,killng,,,,
37,7103269994770763014,gamerperspective,DOOM ETERNAL Killing boss DLC #part2 #doom #doometernal #hell #boss #gamer #myface #killng #facecam #gaming #fight #foryou #foryoupage #fypage #fyp #fypシ #fy #viral #viralvideo,2297,killng,,,,
38,7136943731889999110,titansacademys,timmy turns into a baddie😔😔 #timmy #deprinceofzhong #tiffany #crystal #titanacademy #titansacademys #titan #titanacademyedit #titanedit #classt1t5 #classn4t1 #n4t1 #t1t5 #nightschool #jianhaotan #fyp #4u #xyzbfa #foryou #foryoupage ,647000,t1t5,,,,
39,7098026888215465217,t1t5editsx,“I mean ew I mean ew  “💀#fyp #foryoupage #t1t5 #titanacademy #jianhaotan #t1t5edits,410600,t1t5,,,,
40,7080102423364177178,pewpewlobe,Love triangle #jianhao #denise #vincent #titanacademy #t1t5 #fyp #foryoupage #xyzbca #kpopfyp #fypm #singapore #edit @thejianhaotan @realdebbwie @denisesoongeelyn,215400,t1t5,,,,
41,7108312170978381082,trebbey,TBH my favorite scene in this episode 😭💀 #trebbey #teamtitan #titanacademy #t1t5 #fyp #foryoupage #goviral #titanfamily,514900,t1t5,,,,
42,6796168070604819713,ridhwannabe_,Exam results got us feeling like 😰🎭☺️😭💙💔#fyp #foryoupage #T1T5 @deprinceofzhong @✧༺ 𝔟𝔥𝔞𝔡𝔦𝔢༻ ✧ @С ʀ ʏ ƨ т α в ɛ ℓ 🌻 @Diana Bakar @Lizy Teo,302200,t1t5,,,,
43,7124417737866153221,titansacademys,who do you think wins? #madamsootbeng #james #t1t5 #titanacademy #titansacademys #titanedit #titanacademyedit #jianhaotan #n4t1 #classt1t5 #classn4t1 #fyp #xyzbca #edit #4u #foryoupage #amandersings @AmanderSings,208600,t1t5,,,,
44,7125373395180604678,titansacademys,who should win?? #maddy #denise #titanacademy #titansacademys #titan #titanacademyedit #titanedit #t1t5 #n4t1 #classt1t5 #classn4t1 #battle #denisevsmaddy #fyp #xyzbca #4u #foryou #foryoupage,200800,t1t5,,,,
45,7020082860296129793,t1t5z,She deserves better:( @realdebbwie @bentangggg #T1T5 #debbie #fyp #jianhaotan #kevin #misssherlie #madamsootbeng #abby #classt1t5 #foryou,165600,t1t5,,,,
46,7123277957602217221,titansacademys,what is the name if your restaurant?? 🤨 #titanacademy #t1t5 #nightschool #jianhaotan #titansacademys #xyzbca #4u #titanacademyedits #mairestuarant #youtubeseries #youtube #ohmygosh,78200,t1t5,,,,
47,7173027957794032901,..fishstink,Roy <\3 #TW #fyp #edit #spookymonth #spookymonth💀🎃 #spookymonthsrpelo #royspookymonth #spookymonthroysuncle #roysuncleslander #abuse #trauma #p3d0philia #tw ,145100,p3d0philia,,,,
48,7082750696889535749,.kokomida,"There is also ""shtwt"" 😕 #shtwt #r4peisntfunny #p3d0philia #twitter #twitterisweird #yuziyuan #yuziyuan虞紫鸢 #mdzs #modaozushi #modaozushi魔道祖师 #fyp #foryoupage #dc #dlaciebie #viral #jiangyanli",4294,p3d0philia,,,,
49,7108088246202043694,droxzee,#vent #ventart #persona #art #artistsoftiktok #tw #p3d0philia #AmazonVirtualTryOn #MakeASplash #fyp #abcxyz #gay #lenovojustbeyou,1368,p3d0philia,,,,
50,7091032523752443142,linkolumer,#Duett mit @quill_nova unpopular opinion but #fy #fyp #p3d0philia,1416,p3d0philia,,,,
51,7144173630346251562,yourmomslover_05,It’s so weird. #SephoraConcealers #DrPepperTuitionContest #gross #p3d0philia  #weirdfanart #creeps #viral #blowthisup #true #🌈 #🏳️‍🌈 #🍃 #cartoons #anime ,472,p3d0philia,,,,
52,7044678194988961029,yukiismommy,TW: PEDOPHILIA/ Mayu deserve so much better#mayuelfenlied#elfenlied#elfenliededit#anime#animeedit#fyp#foryou#p3d0philia#viral#edit,2548,p3d0philia,,,,
53,7150950344997031195,lordtempest69,Replying to @igoptayopre kapatid?🤨#waifu #lolipop #loli #blackandwhite #TMGVIdol #bold #comik #comic #anime #edit #foryoupage #foryou #fyp #tiktok #hen74i ,350400,hen74i,,,,
54,7151035108353461530,lordtempest69,part 3 need sause?😏 #naruto #tsunade #hokage #anime #comic #milk #TMGVIdol #bold #hen74i #18 #viral #trending #trend #goodvibes #foryou #fyp #foryoupage #narutoshippuden ,56600,hen74i,,,,
55,7138069930741615914,seek_stolemyjean_.shorts,Don’t watch mr beast full video #hen74i,4321,hen74i,,,,
56,7151064432368520474,lordtempest69,PART 2 (Credits to the owner na si idol: @janelsenpai )#foryoupage #fyp #foryou #part2 #goodvibes #trend #trending #viral #18 #hen74i #bold #jollibee #comic #anime ,3474,hen74i,,,,
57,7093988058168560901,eat_a_brick27,##greenscreenvideo #fup #fypシ #fax #MoveToTheBeatOfBai #fypシ゚viral #🚩 #tidd1es #iloveoldmen #daddysgirl #n00dles #skinsuk #w #redflags #deep #schoollife #parents #ED #mommyissues #fyp #scarlet #tomholland #cassie #cassieansworth #skins #grosspo #b0nesp0 #assult #assultawarness #sa,14800,b0nesp0,,,,
