,Video ID,Author,Video Description,Video #Views,Euphemism,Annotator 1,Letter 1,Annotator 2,Letter 2
0,6848315873523027205,scandalyss__,life comes at you fast #foryou #fyp#ColorCustomizer #fricktrump #biden2020 #drgs @mmmwhatchasayre @mikecopps,1100000,drgs,,,,
1,6938010319075757318,coreditedj,#goedspul #goodstuff #drgs #holland #minister #coronavirus #nakkie #snuifduif #hugodejonge #volksgezondheid #rivm,952400,drgs,,,,
2,7142259117493636358,sharonolv,Duda de tus creencias implantadas. 👀🧠 #psicodelicos #ayahuasca #peyote #hongos #drgs #pov ,75800,drgs,,,,
3,7126678919033425158,its.ya.boy.lucass,😕🍃🫁 #why #whynot #drgs #smoke #v4pe #fyp #sad #fypシ #fypage #crying #jeugd #probleemkind,73100,drgs,,,,
4,7155719101179088133,alejandroleal51,Yo les saludo a Valentín y a Jenny de su parte #pendj #dechill #drgs #parati #chgsm #adios  ,127000,drgs,,,,
5,7162522604006378778,ashikhasan017,@ashikhasan...017#@ashikhasan017#foryou#foryoupage #bike lover#stunt ashik#rabbi_bhai#Ngr ashik#bonpara nator#🇧🇩🇧🇩🇧🇩🇧🇩 ,1600000,ngr,,,,
6,6954848739987131654,soymelissanavarro,#despertando #ngr #fyp #foryoupage 🖤,256100,ngr,,,,
7,6825964561250667782,monana30,#dlaciebie #dc #fy #foryou #kabaret #na_górze_róże #ngr #kabaret_nowaki,265100,ngr,,,,
8,7091942737553018117,_.k.a.s.h.i.f._,💔Nanghrhar🥺🥀#canada_life🇨🇦 #kashifroudwal#foryourpag #ad #viral #fyp #foryourpage #100k #pukhtoon🔥 #afgboy🇦🇫 #fypage #khan #fypシ #ngr #duet #unfrezzmyaccount #1millionaudition #sad #new,77600,ngr,,,,
9,7080018558335454469,_.k.a.s.h.i.f._,#ad ❤️🤣د مصر شاروخان یی پخیر کړی🙊😐#foryourpag#canada_life🇨🇦 #kashifroudwal #viral #fyp #khan #new #100k #pukhtoon🔥 #1millionaudition #afgboy🇦🇫 #ngr #fypシ @bilalroudwl,118800,ngr,,,,
10,7148642559164812549,el_arrozitho_xd,yo tengo derechos >:(  #humornegro #ngr #parati #pyfツ ,73700,ngr,,,,
11,7121650575782989057,ngr_queen0,#foryou #viralvideo #ngr #afghanistan #explore #trending  ته شایسته یی مه جوړوه ځان☺️♥️🦋🙌,121500,ngr,,,,
12,7069745555127291163,arjungautam532,suddenly को आउनुभयो पछी पो लाज लाग्यो #marjana tha ye bhed nahi tha kholna #trendingsong#arjungautam532 #foryou #fypシ #dancelover,8200000,marjana,,,,
13,6798504351859182853,harmanjot_singh_rai,ਥੋੜ੍ਹੀ ਬਹੁਤੀ ਫ਼ਿਕਰ ਤਾਂ ਕਰਿਆ ਕਰ ਸਾਡੀ ਸੱਜਣਾ🎥💓💓#jazbaat #sukhsaab75 #parmishverma #dil #chadrewalajatt #fatehgarhsahib #marjana #cyprus #harman #wmk,922000,marjana,,,,
14,7113736617830976794,arjungautam532,ko aaunu bho paxadi achanak laaj lagyo 🙈#marjana tha ye bhed nahi tha kholna #trendingsong #arjungautam532 #foryou #foryoupage #fypシ #dancelover,727400,marjana,,,,
15,6806244819157929218,piyushrajput1322,🙏😭😭😭🙏#marjana #sad #sadsong #jassmanak #handwashchallenge #piyushrajput1322,240200,marjana,,,,
16,6792932972761713926,preet.kaursidhu,Marjana mennu chette aunda🙈❤️ #garrysandhu #marjana #preetkaursidhu #chupachupslovers #watchmymagic #viral #like #punjabicomedy #love #foryou #trend,164200,marjana,,,,
17,6784849464461954305,ujjwal_1109,Rab hasta hua rakhe tumko ❤️💞💕😍💗💖😊❤️ #foryoupage #marjana #fellinglove #trending #foryou #ujjwalrauniyar1109 #lovehim #somuch #foryoupagenow,296400,marjana,,,,
18,6803920179098029314,anu_gi.ll,ajja ajja kri jandi 😂#navfam11 #marjana @prabh_gill123,390600,marjana,,,,
19,6771683790285786370,anu_gi.ll,marn chalia🤣#navfam11 #pb41team #marjana @prabh_gill123,118600,marjana,,,,
20,7095462858162572549,theflopolol,#foryou #horror #fnaf #fnaf6 #fyp #jumpscare #twitch #foryoupage #tiktok #xyzcab #trending #duet  #viral #tiktokindia #booba #ilost  #mothersday #tittiess #mommy #lol #omg #viraltiktok,2200000,tittiess,,,,
21,6814223815040683270,mrs.dgaf2013,His name is titties #catsoftiktok #indoorworkout #tittiess #,6000000,tittiess,,,,
22,6826183392699239686,djfoxxtrot,#quarantine #girltalk #girlpower #fyp #finalsathome #tittiess,163700,tittiess,,,,
23,6960332392552779014,robocop17art,#duet with @calenorton18 WHOEVER POSSESED THIS CHILD!! 👏👍❤️👹#tiktokdiablo #demon #baby #tittiess #fyp #takitosquad,69700,tittiess,,,,
24,7112213947423493382,theflopolol,#foryou #horror #fnaf #fnaf6 #fyp #jumpscare #twitch #foryoupage #tiktok #xyzcab #trending #duet  #viral #tiktokindia #fathersday #booba #tittiess #momm #milker #flopolol,48000,tittiess,,,,
25,6823904836866657542,spiritofjezebel,#greenscreen #greenscreenvideo And I don’t regret a thing 😂 #tittiess #fyp #implantcheck,86800,tittiess,,,,
26,6942837046994013445,flower_child246,A CONDITION CALLED “TITTIES”.😜         #barbados #bajan #bajantiktok #fyp #justforfun #tittiess #trend #viral,59900,tittiess,,,,
27,6820804084279397637,fatgingerteadragon,,32900,tittiess,,,,
28,7126968806345411841,w_s7f,goktuk best scene 😂😂#wl8d_ #goktug #goktugalp #gokturk #osma #osmaniye #osman #osmankalyoncuu #osmanlı #osmaniye80 #osmanbey #osmanli #saljan #saljan_khatun #saljanhatun #bala #balahatun @🔥 𝐵𝑒𝑦𝑖𝑚 🔥 @👑 OSMAN X ERTUGRUL  👑,2000000,osma,,,,
29,7041261690125618433,www.yolumuz571.com,#halilkonakcı #kadirmısıroglu #ilk  #osma #keşfetteyizz #allah #hzmuhammed #tiktok #keşfet #turanordusu #instagram #facebook #twitter #linkedin #rte,1800000,osma,,,,
30,7107023042651475202,mdshahinamin,#kuruluşosman #97 #osma #konuralp #turgut #love #muslim #muhammad,430700,osma,,,,
31,7139608219139247365,naayrix,Ronca=buenas fiestas🤌🏼 #fiestas #fiestasdelpueblo #osma #afonico #parati #summer #fyp ,63500,osma,,,,
32,7152460013724847365,analianolianos,Ex kga hda ma nolyhy mise#osma #osmanozzy #falis @osmaan_ozzy @faliz_ppe9 @Military family 😈🐐 ,160300,osma,,,,
33,7090240655087258886,el_halcon_japones,#osma #kimura #date #vomitichi #nekota #ippo #ippomakunouchi #hajimenoippo #espiritudelucha #anime #animeedit #manga #foryourpage #fypシ,75400,osma,,,,
34,7160929535687527707,shruthiiemenon,@Rhyshirooban Phoobalan I did it💀 #fyp #i #osma #osmajasmine #tamiltiktok #comedу #funny ,130800,osma,,,,
35,7057223903956962561,mohammadi9580,#keşfet #halikonakçı #osma #aııah #tiktok #keşfetteyizzz #instagram #turanordusu #facebook #rte #madin #اللهم_صلي_على_نبينا_محمد #مسلمان 🕋🇹🇷☝🏾🙏🏿,120200,osma,,,,
36,7165364342194457857,dstar95,#egypt #afghanistan #india #bangladesh #turkey #iran #kingdomsaudiarabia🇸🇦❤️ #pakistan #algrien🇩🇿 #palestine #dubai🇦🇪 #azarbaycan🇦🇿🇹🇷türkiye #foryou #isrealdog #tiktok #albania #trrorist #saudiarabia #viral #news #pakarmy ,14900,trrorist,,,,
37,7129894508199808258,dstar95,please (help Palestine 🇵🇸all Muslim country)  I miss Saddam Hussein #isrealdog #trrorist #palestine #iran #turkey #pakistan #bangladesh #algrien🇩🇿 #albania #azarbaycan🇦🇿🇹🇷türkiye,1279,trrorist,,,,
38,6909254118963940614,prodancer1109,#potsmokingrandma #marijana #fyp #foryou #foryoupage,264700,marijana,,,,
39,6889037197744344322,bellamariaxo,#sculpting #clay #fyp #foryou #foryoupage #marijana#ashtray #incense #art,26500,marijana,,,,
40,6872857011768265989,tialynnroy,best little surprise 🥰 #fyp #pregnancy #teenmom #youngmom #GhostPhotoshoot #marijana #dave #foryou #suprise #baby,18300,marijana,,,,
41,6871588141900270854,zootypatoot,,9957,marijana,,,,
42,6866985978221907206,alittlebitofthisart,🎃 trick r treat lollipop roach clips coming soon 🖤🧡 #resin #fyp #roachclips #halloween #trickrtreat #marijana #sam #MeTime,11600,marijana,,,,
43,6975915226025692422,paolabracho_,#meksičkeserije #telenovelas_mexicanas #telenovelesrbija #telenovela #telenovelas #telenovele #marijana #ukletamariana #marianadelanoche,52300,marijana,,,,
44,6910376055756901638,prettifli_k,,3731,marijana,,,,
45,7059435515661094149,salvatorederosas83,#leiene #sardegna #rave #ibiza #ganga #marijana #enricolucci,17800,marijana,,,,
46,7066802669737757957,kafansko.vece,@semirjahic10 je stigao 👀 i ne može da dočeka početak emisije 🎤🎶 #kafanskovece #emisija #semirjahic #marijana #sabansaulic #muzika #fyp #fypシ #balkan,15400,marijana,,,,
47,6974498816900861185,hafidtouiza0,#memes  #mimes_dz #RapD #hhh #🇩🇿🇩🇿,1200000,rapd,,,,
48,7069847884287462661,elcheo18,Familia Esto paso anoche en guibia 😂 la real cura el Freestyle esta de vuelta 🙏#freestyledominicano #videoviral #risa #rapdominican #freestyle #rapd,46300,rapd,,,,
49,7041674210254654722,x_hamza_____x,"flenn-rebta2شاشة سوداء بدون حقوق ❤️🔥 #fyp #flenn #fypシ #montage #edits #rapd, #dak #zedk #phobia #rapper #alger #جزائر #مغرب #تونس #حب #فراق #كلاش 🤩",31500,rapd,,,,
50,7161982365349383470,_lecrae,They say stay in your place … I guess I made a mistake.  CC4. MIDNIGHT. #H#HipHop#C#ChristianTikTok#C#CHH#C#CC4T#TracklistRevealR#RapD#DeconstructionN#NewMusicchurchclothes ,25200,rapd,,,,
51,7072793628015348993,the_qaxap,الرد على @33doudou #كمونتي_بغنية_لي_تعجبك_نخدم_بيها👇💪🔥 #skorap #jack #itachi #rapd #editanime #dz #qaxap,17000,rapd,,,,
52,6979773116327202053,lk_alves01,"Responder a @itachi.edits consegui recuperar, mais ainda está atrasado mn.#rap #fys  #doftorbmari #fyy #fypシ #fy🥺 #animes #onerepublic #7mz #7 #rapd",23100,rapd,,,,
53,7156183824202861826,.darth_brick,Don’t be suspicious #lol #zoo #phile #zoophil #heheheha #XD # ,321200,zoophil,,,,
54,7053991425486212399,pxrkiess,W video #fyp #gta5online #pxrkless #gtav #gta5_funny #gtaviral #gta5clips #gtaonline #foryoupage #zoophilesarentvalid #zoophiliaisnotvalid #zoophil,119100,zoophil,,,,
55,7169191609068883205,yannx2z,Trkl on voit pas les fautes d’orthographe 👀          @_loan__12 @marius.frn07  #CapCut #humour #pourtoi #foryou #fyp #PasstheGreatness #fypシ #pourtoii #foryoupage #devinelapersonne #viral #trending #love #❤️ #animaux #animal #zoophil #chien,23400,zoophil,,,,
56,7133277604496395525,leamsitv,#leamsitv #zoophil #cochon #humouur #mddddrr #😂💀 #mdddrrr,92400,zoophil,,,,
57,7065122198075297071,kimblee4209,Reply to @zooprideisvalid_  someone get her addre$$ #fyp #zoophil #zoo #meme #funny #jokes,13600,zoophil,,,,
58,7114500406243462446,mucka.blucka,Reply to @zubinsdeathwish #fyppppppppppppppppppppppp #fyp #fypシ︎ #fyppppppppp #LOL #viral #fypシ゚viral🖤video #fypシツ♡☆★ #putinr34 #putinr34 #putinrule34 #fypシ゚viral🖤tiktok☆♡🦋myvideo #fypシforyoupage #fypdongggggggg #zoophil #zooflag,47400,zoophil,,,,
59,7054680236016962862,pxrkiess,W video #fyp #gta5online #pxrkless #gtav #gta5_funny #gtaviral #gta5clips #gtaonline #foryoupage  #zoophil #zoophiliaisnotvalid #zoophilesarentvalid,24800,zoophil,,,,
60,7086921035630546182,fc.jacksons,#lonni #lonnizer #nalaroilion #zoophil #drole #humour #fyp #fypシ #pourtoi #foryou #foryoupage,14300,zoophil,,,,
61,7076902948873276677,realratiomilk,I left my dad🥱🥱#dad #zoophil #zoo #furry #joke,34800,zoophil,,,,
62,7065201726420274434,neonvari,@neonvari #fyp5266m #neon #neontext #neonaz,84800,neonaz,,,,
63,7067417080861101314,neonvari,#fyp5266m #neonlights #neontext #neonazerbaijan #neonaz #neonvari #azərbaycantiktok🇦🇿🇦🇿 @neonvari,10200,neonaz,,,,
